Year	jan	feb	mar	apr	may	jun	jul	aug	sep	oct	nov	dec
1980	4.96612906455994	7.522413747064	6.3483871259997	8.97333335876465	11.2564516067505	13.6700000762939	14.4806451489848	16.1951612964753	15.4499999682109	11.5483871275379	8.15166666507721	7.5225806543904
1981	6.92419349762701	5.11071423121861	8.45161287246212	8.51166664759318	10.9806451951304	13.1716666221619	15.3661291060909	16.9983869060393	15.690000184377	11.0274194901989	9.76499996185303	6.11451611211223
1982	6.56935483794059	6.79107147455215	6.99193549925281	9.0383333047231	11.929032387272	15.1783332506816	16.225806636195	15.9209676250335	15.8450001080831	12.067741978553	10.1366667429606	7.12903225806452
1983	8.0322580183706	4.20178571343422	6.83064514590848	7.8383333047231	10.3677420154695	14.2199999809265	19.440322537576	17.411290384108	14.9000000317891	12.1596773824384	10.1983332951864	8.04516126263526
1984	6.43387094620735	5.75344829723753	6.19838708446872	9.18333340485891	9.86129023951869	14.3233333587646	16.8274192194785	17.2983869429558	14.6166665712992	12.6596775054932	10.4583333969116	8.04516126263526
1985	3.93064516205941	5.31607144858156	6.19354840247862	9.04166671435038	11.1709675635061	13.1299998919169	15.9661291491601	15.2596773639802	15.5650000254313	13.0048387435175	7.72833327452342	9.04354836863856
1986	6.82258060670668	1.50178570406778	6.09516130916534	6.41666673024495	10.7112903902608	14.2100000063578	15.0774194040606	14.4322580522107	12.7766666094462	13.0612903410389	9.94000004132589	8.26935489716068
1987	2.45322583183166	5.39642857653754	5.97096775424096	10.4516666412354	10.7338709369782	12.8266665776571	16.0645161290323	16.2774193363805	15.4700002352397	12.2532259418118	9.04166671435038	7.75967748703495
1988	7.77903226114088	6.27758622169495	7.54516126263526	9.19333329200745	12.1290322888282	14.268333307902	14.6870966880552	15.8870968357209	14.5300000508626	12.9435483255694	9.19833339055379	9.18709682649182
1989	7.51290322888282	7.71071425506047	8.90806447305987	7.92333329518636	13.9467741443265	14.9250000317891	17.9612904210244	17.4145162336288	16.35	14.2354839386479	9.94833324750264	8.05483875736114
1990	8.28709679265176	9.03571421759469	9.00645165289602	8.99833329518636	13.6193548633206	13.8366667111715	17.1854838402041	18.5145160613521	15.6199999491374	13.7935483994022	9.34999995231628	6.77258072360869
1991	5.85322579885683	3.85892856121063	8.56935481102236	8.45166668891907	10.5370967465062	12.368333307902	15.987096786499	17.029032245759	16.288333384196	12.0548387035247	8.96166671117147	6.87741936022235
1992	5.99999999615454	6.76034486704859	7.95483879889211	8.90333333015442	13.338709708183	15.2216665585836	16.5048386666083	16.1322580152942	14.3899999936422	10.5790324211121	10.4833333015442	7.32419353915799
1993	8.56935486485881	5.86249995231628	7.77580645007472	9.8733332157135	12.1983870844687	14.65	15.3048388265794	15.4677418739565	14.1699999173482	11.1838708692981	7.67833335399628	8.15161288938215
1994	7.63225801529423	6.65892859441893	8.74838701371224	8.78666667938232	11.6612903533443	14.2816665649414	17.1854836248582	16.5032258495208	14.4083332379659	13.0870967372771	12.0083334287008	9.57258062977945
1995	7.67903222576264	8.86250007152557	7.49838716753067	9.2949999332428	13.0951612226425	14.4700000762939	17.849999858487	19.0806450382356	15.056666692098	14.6967742366176	10.5049998919169	6.82741929542634
1996	7.65322583144711	5.39999995971548	6.81774190933474	9.16666673024495	9.89032253142326	14.968333307902	16.5145160921158	17.1403227160054	14.8966667493184	13.3854838955787	9.11499993006388	6.32903221730263
1997	4.31129031027517	7.97857144900731	9.27903230728642	9.89166661898295	12.6951613118572	14.3183332125346	16.3032257633825	18.9903228513656	16.4783332824707	13.6387096220447	11.1883333206177	8.73387099850562
1998	7.20967741935484	8.12500004257475	8.769354866397	8.86833337148031	13.5532257941461	14.6949999491374	15.4725806328558	16.5080643623106	15.8399999936422	12.6693548387097	8.90499990781148	8.26935477410593
1999	8.01290319042821	7.14285714285714	8.33548387404411	9.8450001557668	13.2580644853653	14.0683333714803	17.3161291922292	17.150000141513	16.5116667111715	12.9290323257446	9.94000007311503	8.10161286015664
2000	7.05322574800061	8.15172415766223	8.06935481102236	8.77500007947286	12.2887096097392	15.0166664123535	15.66612908148	17.1967743289086	16.0316667238871	12.287096669597	9.47000001271566	8.74838699063947
2001	6.9709677696228	7.19339292390006	8.30806445306347	9.14833334287008	12.4274193548387	14.9216667811076	17.329032128857	17.6451612903226	15.3733333905538	15.2274193302278	9.96666668256124	7.07580644084561
2002	8.16774196778574	8.52678578240531	9.29032254988147	9.92999997138977	12.3209677050191	13.9983334541321	15.7935484301659	16.8387095236009	16.253333346049	13.440322537576	11.3799999237061	8.58709676034989
2003	6.32096768963722	6.42142859527043	9.02258063900855	10.6400001049042	12.033870943131	16.2383333206177	17.7596773947439	19.2661289707307	16.5699998537699	12.1612902764351	10.7766665935516	8.18064509668658
2004	7.89677423046481	6.96379308453922	7.42419362068176	9.75333333015442	12.8338709800474	15.7016667048136	15.9387097204885	17.4870965711532	15.8049999872843	12.8822580460579	10.4866665840149	7.820967612728
2005	8.12903236573742	5.68928579347474	7.77419357145986	9.50833341280619	11.6596772901474	15.661666838328	17.0112904579409	17.0951612534062	16.4300000508626	15.0967742858394	9.63499986330668	7.26774190702746
2006	6.54838711215604	5.49642865146909	6.66290326272288	9.15666666030884	12.1741935360816	15.7450000762939	19.0887096774194	17.1016128601566	17.2950001398722	15.2177418431928	11.433333269755	9.00806453151088
2007	9.02741939790787	8.77857146944318	8.28387097389467	11.7233334223429	12.3741934684015	14.883333269755	15.5887096774194	16.0580645222818	14.8450000762939	12.966129056869	10.3366666952769	7.76935482794239
2008	8.49354834710398	7.50344829723753	7.85483883273217	9.25333333015442	13.7854837602185	14.3866665204366	16.2112903287334	16.1822581445017	14.4583334287008	11.6935483563331	9.76166663169861	6.49838705985777
2009	5.37258062824126	5.8696429005691	7.8758065008348	9.62833326657613	11.851612921684	15.025	16.4999998769453	16.4435483255694	15.1799999237061	13.6629032627229	10.928333346049	6.83709680264996
2010	4.28387092967187	5.51785715562957	6.70806451766722	9.24500007629394	11.1774193702206	14.6666667620341	17.0612904640936	16.2516129401422	15.1816666603088	12.8225806451613	8.7899999777476	4.43225805701748
2011	6.43870959743377	7.92678570747375	7.86774193856024	11.9549999237061	12.6516129278368	14.1683334032695	15.5145160921158	15.8725805897867	16.1916666348775	14.0129031519736	12.0494999885559	9.15483879273938
2012	7.95161296475318	5.66379307878429	9.01612904763991	8.60666669209798	11.7741935483871	13.7983333269755	15.491935576162	17.0951613764609	14.656666692098	12.680645250505	9.58500006993612	8.19677419047202
2013	6.74032265909256	5.36785712838173	5.57096771655544	7.92000003655752	10.6677418678038	13.3483333269755	17.064516252087	17.2129032381119	15.6733334223429	14.2967743104504	9.76500007311503	8.85967739166752
2014	8.19032249143047	7.76249997956412	8.57419343148508	10.5333332061768	12.335483981717	15.5366667429606	17.909677320911	16.3306451305266	17.2366664250692	14.596774132021	11.2183334032694	8.60177418493455
2015	7.50806450843811	5.85892862933023	7.79193544387817	10.3983332475026	11.753225726466	14.4349999427795	16.6935483870968	16.4032257756879	14.6700000127157	12.8758065315985	12.2233332475026	11.5661290076471
2016	7.93548391711327	7.16724142534979	7.31612908455633	8.86333333651225	12.4758063285582	14.5399999936422	16.7967741873956	17.4387099358343	16.9050001780192	12.7580644853653	9.72166662216187	8.88064512129753
2017	6.5725806586204	7.59642856461661	9.5209677603937	9.87166679700216	13.346774132021	16.2549997329712	17.0645160982686	16.503225726466	14.6516666412354	13.6677418678038	10.1666667143504	8.29032253449963
2018	8.19032256833969	5.0964285071407	6.87580643930743	10.6599999109904	12.8935483501803	15.6583335240682	18.5951614995157	17.2693546971967	16.0483333905538	13.0967742243121	10.353333346049	9.46290324580285
2019	6.92580644546017	8.51428581987109	9.13548388019685	10.1550000349681	11.9354839324951	14.9550000190735	17.7338711215604	17.3661289830362	15.9016666730245	13.1241934376378	9.41666660308838	8.65806459611462
2020	8.17903224883541	8.43793091280707	8.16451604904667	12.0436666965485	13.2016129339895	15.4083333651225	16.1322581075853	18.312903096599	16.1499998728434	12.575806402391	11.439999961853	8.36290316427908
2021	6.62096768809903	6.96964290950979	8.25645165289602	8.05000006357829	11.2499999384726	15.0266665458679	17.0854839509533	16.4080645038236	16.9700000127157	13.8972580509801	10.2999997138977	

